Id,DeveloperName,MasterLabel,Language,NamespacePrefix,Label,QualifiedApiName,privacycenter__API_Name__c,privacycenter__Active__c,privacycenter__Custom__c,privacycenter__Data_Object__c,privacycenter__Date_Max__c,privacycenter__Date_Min__c,privacycenter__Field_Length__c,privacycenter__Field_Type__c,privacycenter__Index_Number__c,privacycenter__Masking_Category__c,privacycenter__Masking_Type__c,privacycenter__Range_Max__c,privacycenter__Range_Min__c,privacycenter__Required__c,privacycenter__Unique__c
m0011000000XBhdAAG,f2e7bea65e47ea7a4f47dfcd516eb1,f2e7bea65e47ea7a4f47dfcd516eb1,en_US,,f2e7bea65e47ea7a4f47dfcd516eb1,f2e7bea65e47ea7a4f47dfcd516eb1,LastModifiedDate,1,,m0111000000in5LAAQ,,,0,DateTime,,,Retain,,,1,
m0011000000XBhjAAG,ff9d424d3becefd8690cb926271ace,ff9d424d3becefd8690cb926271ace,en_US,,ff9d424d3becefd8690cb926271ace,ff9d424d3becefd8690cb926271ace,Subject,1,,m0111000000in5LAAQ,,,255,Text,,,Retain,,,,
m0011000000XBhJAAW,fbfd71338770a0ba5a59f1a327ba2a,fbfd71338770a0ba5a59f1a327ba2a,en_US,,fbfd71338770a0ba5a59f1a327ba2a,fbfd71338770a0ba5a59f1a327ba2a,SuppliedEmail,1,,m0111000000in5GAAQ,,,80,Email,,Email,Pseudonymize,,,,
m0011000000XBhKAAW,f155308e0e8d0fbf01d5b53b6ed091,f155308e0e8d0fbf01d5b53b6ed091,en_US,,f155308e0e8d0fbf01d5b53b6ed091,f155308e0e8d0fbf01d5b53b6ed091,Description,1,,m0111000000in5GAAQ,,,32000,Text,,,Delete,,,,
m0011000000XBhaAAG,f5805dd432b0f29dec024bcab813ba,f5805dd432b0f29dec024bcab813ba,en_US,,f5805dd432b0f29dec024bcab813ba,f5805dd432b0f29dec024bcab813ba,Priority,1,,m0111000000in5LAAQ,,,255,Picklist,,,Retain,,,,
m0011000000XBhNAAW,f9b5761d7a21617a175da119a91889,f9b5761d7a21617a175da119a91889,en_US,,f9b5761d7a21617a175da119a91889,f9b5761d7a21617a175da119a91889,SuppliedName,1,,m0111000000in5GAAQ,,,80,Text,,Full Name,Pseudonymize,,,,
m0011000000XBhLAAW,f0d2f73117af8ab8ba3805746075ba,f0d2f73117af8ab8ba3805746075ba,en_US,,f0d2f73117af8ab8ba3805746075ba,f0d2f73117af8ab8ba3805746075ba,SuppliedPhone,1,,m0111000000in5GAAQ,,,40,Text,,Phone Number,Pseudonymize,,,,
m0011000000XBhcAAG,f7fbd1129cc5775bd1b9e651db051b,f7fbd1129cc5775bd1b9e651db051b,en_US,,f7fbd1129cc5775bd1b9e651db051b,f7fbd1129cc5775bd1b9e651db051b,IsClosed,1,,m0111000000in5LAAQ,,,0,Boolean,,,Retain,,,1,
m0011000000XBhTAAW,f7cdd2a5a7165537f0ea42360ac2aa,f7cdd2a5a7165537f0ea42360ac2aa,en_US,,f7cdd2a5a7165537f0ea42360ac2aa,f7cdd2a5a7165537f0ea42360ac2aa,ParentId,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,,
m0011000000XBhOAAW,ff6d9eda7075de937af94fddfd5159,ff6d9eda7075de937af94fddfd5159,en_US,,ff6d9eda7075de937af94fddfd5159,ff6d9eda7075de937af94fddfd5159,Comments,1,,m0111000000in5GAAQ,,,4000,Text,,,Delete,,,,
m0011000000XBhhAAG,f253ee1ca335e9f9e0c29b4bb73579,f253ee1ca335e9f9e0c29b4bb73579,en_US,,f253ee1ca335e9f9e0c29b4bb73579,f253ee1ca335e9f9e0c29b4bb73579,Reason,1,,m0111000000in5LAAQ,,,255,Picklist,,,Retain,,,,
m0011000000XBhWAAW,f9c821c4c95a1d7f9e296933bec166,f9c821c4c95a1d7f9e296933bec166,en_US,,f9c821c4c95a1d7f9e296933bec166,f9c821c4c95a1d7f9e296933bec166,Status,1,,m0111000000in5LAAQ,,,255,Picklist,,,Retain,,,,
m0011000000XBhSAAW,f55f187c04ba73cd5a167906a44846,f55f187c04ba73cd5a167906a44846,en_US,,f55f187c04ba73cd5a167906a44846,f55f187c04ba73cd5a167906a44846,IsEscalated,1,,m0111000000in5LAAQ,,,0,Boolean,,,Retain,,,1,
m0011000000XBhVAAW,f4bc49d2d18856b3cfa82d1b13b913,f4bc49d2d18856b3cfa82d1b13b913,en_US,,f4bc49d2d18856b3cfa82d1b13b913,f4bc49d2d18856b3cfa82d1b13b913,OwnerId,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,1,
m0011000000XBhUAAW,f2c0bc4476d63e9149348248ab1d62,f2c0bc4476d63e9149348248ab1d62,en_US,,f2c0bc4476d63e9149348248ab1d62,f2c0bc4476d63e9149348248ab1d62,MasterRecordId,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,,
m0011000000XBhgAAG,f5b8dbf48828738eb3ffd160947335,f5b8dbf48828738eb3ffd160947335,en_US,,f5b8dbf48828738eb3ffd160947335,f5b8dbf48828738eb3ffd160947335,AssetId,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,,
m0011000000XBhXAAW,f3e11b1bcbc76f32aac74a79d2dfb6,f3e11b1bcbc76f32aac74a79d2dfb6,en_US,,f3e11b1bcbc76f32aac74a79d2dfb6,f3e11b1bcbc76f32aac74a79d2dfb6,ContactId,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,,
m0011000000XBhmAAG,fc55e0e85a1af8a62936105115591e,fc55e0e85a1af8a62936105115591e,en_US,,fc55e0e85a1af8a62936105115591e,fc55e0e85a1af8a62936105115591e,Id,1,,m0111000000in5QAAQ,,,,Text,,,Retain,,,,
m0011000000XBhMAAW,f2d9bf417b324a4bc16043436508c6,f2d9bf417b324a4bc16043436508c6,en_US,,f2d9bf417b324a4bc16043436508c6,f2d9bf417b324a4bc16043436508c6,SuppliedCompany,1,,m0111000000in5GAAQ,,,80,Text,,Company Name,Pseudonymize,,,,
m0011000000XBhfAAG,f6b8e03b4bda55534c7d0cda9035c7,f6b8e03b4bda55534c7d0cda9035c7,en_US,,f6b8e03b4bda55534c7d0cda9035c7,f6b8e03b4bda55534c7d0cda9035c7,ClosedDate,1,,m0111000000in5LAAQ,,,0,DateTime,,,Retain,,,,
m0011000000XBhIAAW,fbda16b2bf9e65cd81744762fbbe1c,fbda16b2bf9e65cd81744762fbbe1c,en_US,,fbda16b2bf9e65cd81744762fbbe1c,fbda16b2bf9e65cd81744762fbbe1c,Subject,1,,m0111000000in5GAAQ,,,255,Text,,,Anonymize,,,,1
m0011000000XBhYAAW,f5cdc14d7931696c122812718cbd6a,f5cdc14d7931696c122812718cbd6a,en_US,,f5cdc14d7931696c122812718cbd6a,f5cdc14d7931696c122812718cbd6a,CreatedById,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,1,
m0011000000XBhbAAG,fd7a632ff2be1818ccc4c056e36c69,fd7a632ff2be1818ccc4c056e36c69,en_US,,fd7a632ff2be1818ccc4c056e36c69,fd7a632ff2be1818ccc4c056e36c69,LastModifiedById,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,1,
m0011000000XBheAAG,f8f6fc0b87aad560b08bc33b2f9b63,f8f6fc0b87aad560b08bc33b2f9b63,en_US,,f8f6fc0b87aad560b08bc33b2f9b63,f8f6fc0b87aad560b08bc33b2f9b63,AccountId,1,,m0111000000in5LAAQ,,,18,Id,,,Retain,,,,
m0011000000XBhZAAW,f974993f5458db13d7317f9a73c7e1,f974993f5458db13d7317f9a73c7e1,en_US,,f974993f5458db13d7317f9a73c7e1,f974993f5458db13d7317f9a73c7e1,Type,1,,m0111000000in5LAAQ,,,255,Picklist,,,Retain,,,,
m0011000000XBhiAAG,fdb7d5653a565c42a2d55839dc8da9,fdb7d5653a565c42a2d55839dc8da9,en_US,,fdb7d5653a565c42a2d55839dc8da9,fdb7d5653a565c42a2d55839dc8da9,SuppliedName,1,,m0111000000in5LAAQ,,,80,Text,,,Retain,,,,
